Id	Code	Name	District	ExpenditurePerPupil	InstructionalExpendituresPercentage	CombinedWealthRatio	NeedsIndex	FreeLunchPercentage	ReducedLunchPercentage	LimitedEnglishProficientPercentage	EthnicDiversity	GraduatePercentage	DroppedOutPercentage
479	500401060009	SUFFERN SENIOR HIGH SCHOOL	RAMAPO CENTRAL SCHOOL DISTRICT (SUFFERN)	25371	78.0862996	1.01	6	14	4	1	27.48575389	96.2962963	2.564102564
480	500402060014	SPRING VALLEY HIGH SCHOOL	EAST RAMAPO CENTRAL SCHOOL DISTRICT (SPRING VALLEY)	26527	77.133601	1.069	3	64	8	25	23.38945631	69.36619718	23.5915493
481	500402060018	RAMAPO HIGH SCHOOL	EAST RAMAPO CENTRAL SCHOOL DISTRICT (SPRING VALLEY)	26527	77.133601	1.069	3	65	9	16	21.81436835	76.60818713	16.95906433
482	510101040003	SAINT LAWRENCE HIGH SCHOOL	BRASHER FALLS CENTRAL SCHOOL DISTRICT	17786	67.9037335	0.288	4	41	10	0	36.93056548	89.71962617	5.607476636
483	510201060003	H C WILLIAMS SENIOR HIGH SCHOOL	CANTON CENTRAL SCHOOL DISTRICT	17880	73.693476	0.43	5	25	5	0	37.98289089	87.62886598	6.18556701
484	510401040001	CLIFTON-FINE JUNIOR-SENIOR HIGH SCHOOL	CLIFTON-FINE CENTRAL SCHOOL DISTRICT	26498	62.5522152	0.842	4	48	15	0	35.99259183	92	4
485	510501040001	COLTON-PIERREPONT CENTRAL SCHOOL	COLTON-PIERREPONT CENTRAL SCHOOL DISTRICT	28060	67.9350213	1.203	5	27	9	0	40.41658076	89.28571429	7.142857143
486	511101060005	GOUVERNEUR JUNIOR-SENIOR HIGH SCHOOL	GOUVERNEUR CENTRAL SCHOOL DISTRICT	17971	72.1105099	0.303	4	38	7	0	38.95510236	85.36585366	10.56910569
487	511201040001	HAMMOND CENTRAL SCHOOL	HAMMOND CENTRAL SCHOOL DISTRICT	19284	73.3339276	0.668	4	37	16	0	40.41658076	81.48148148	7.407407407
488	511301040002	HERMON-DEKALB CENTRAL SCHOOL	HERMON-DEKALB CENTRAL SCHOOL DISTRICT	23097	72.3440863	0.341	4	43	16	0	39.36326545	95.23809524	4.761904762
489	511602040002	LISBON CENTRAL SCHOOL	LISBON CENTRAL SCHOOL DISTRICT	19303	70.448448	0.433	4	34	9	1	40.33691444	93.02325581	6.976744186
490	511901040001	MADRID-WADDINGTON JUNIOR-SENIOR HIGH SCHOOL	MADRID-WADDINGTON CENTRAL SCHOOL DISTRICT	18337	69.3048564	0.403	5	30	8	0	39.27552249	86.8852459	6.557377049
491	512001060008	MASSENA SENIOR HIGH SCHOOL	MASSENA CENTRAL SCHOOL DISTRICT	16126	72.2849105	0.381	4	35	10	0	31.70331213	77.27272727	13.18181818
492	512101040001	MORRISTOWN CENTRAL SCHOOL	MORRISTOWN CENTRAL SCHOOL DISTRICT	21081	71.5765136	0.584	4	36	10	0	40.82482905	90.90909091	4.545454545
493	512201040001	NORWOOD-NORFOLK SCHOOL	NORWOOD-NORFOLK CENTRAL SCHOOL DISTRICT	20189	70.697513	0.348	4	37	7	0	38.29577871	89.58333333	2.083333333
494	512300010009	OGDENSBURG FREE ACADEMY	OGDENSBURG CITY SCHOOL DISTRICT	20152	78.7172017	0.333	4	37	18	0	38.95510236	84.375	12.5
495	512404040001	HEUVELTON CENTRAL SCHOOL	HEUVELTON CENTRAL SCHOOL DISTRICT	20329	72.0618859	0.361	4	29	6	0	39.36326545	93.18181818	6.818181818
496	512501040004	PARISHVILLE-HOPKINTON JUNIOR-SENIOR HIGH SCHOOL	PARISHVILLE-HOPKINTON CENTRAL SCHOOL DISTRICT	20793	70.3221015	0.492	4	27	11	0	40.33691444	96	4
497	512902060003	POTSDAM SENIOR HIGH SCHOOL	POTSDAM CENTRAL SCHOOL DISTRICT	20984	68.8918606	0.501	5	21	6	0	37.97762499	92.79279279	5.405405405
498	513102040002	EDWARDS-KNOX JUNIOR-SENIOR HIGH SCHOOL	EDWARDS-KNOX CENTRAL SCHOOL DISTRICT	20881	67.3140713	0.317	4	44	15	0	37.88755293	76.47058824	14.70588235
499	520101060006	BURNT HILLS-BALLSTON LAKE SENIOR HIGH SCHOOL	BURNT HILLS-BALLSTON LAKE CENTRAL SCHOOL DISTRICT	17941	75.900792	0.688	6	5	3	0	38.94996791	96.90721649	1.030927835
500	520302060001	SHENENDEHOWA HIGH SCHOOL	SHENENDEHOWA CENTRAL SCHOOL DISTRICT	14874	73.0277014	0.795	5	8	2	1	34.03331701	92.60237781	4.491413474
501	520401040007	CORINTH HIGH SCHOOL	CORINTH CENTRAL SCHOOL DISTRICT	16364	72.5443732	0.569	5	32	10	0	39.35818424	75.89285714	9.821428571
502	520701040002	GALWAY JUNIOR/SENIOR HIGH SCHOOL	GALWAY CENTRAL SCHOOL DISTRICT	18138	71.2822431	0.796	5	17	7	0	39.43982759	91.46341463	4.87804878
503	521200050003	MECHANICVILLE JUNIOR/SENIOR HIGH SCHOOL	MECHANICVILLE CITY SCHOOL DISTRICT	14978	72.8872486	0.587	5	29	5	0	37.89283134	87.36842105	11.57894737
504	521301060001	BALLSTON SPA SENIOR HIGH SCHOOL	BALLSTON SPA CENTRAL SCHOOL DISTRICT	17958	73.448027	0.634	5	17	4	1	38.46426913	86.86567164	5.671641791
