9869973,HX520249,11/24/2014 09:30:00 PM,028XX W 25TH ST,3960,INTIMIDATION,INTIMIDATION,APARTMENT,false,false,1033,010,12,30,26,1157847,1887237,2014,12/01/2014 12:41:33 PM,41.846330743,-87.696201469,"(41.846330743; -87.696201469)"
9868950,HX519475,11/24/2014 09:30:00 PM,033XX W 62ND ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0823,008,15,66,08B,1155356,1863283,2014,12/01/2014 12:41:33 PM,41.780648136,-87.705985119,"(41.780648136; -87.705985119)"
9868949,HX519531,11/24/2014 09:30:00 PM,047XX S WESTERN AVE,0460,BATTERY,SIMPLE,CTA BUS,false,false,0922,009,12,58,08B,1161121,1873415,2014,12/01/2014 12:41:33 PM,41.808334308,-87.684569104,"(41.808334308; -87.684569104)"
9869540,HX519635,11/24/2014 09:30:00 PM,045XX N MARINE DR,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1914,019,46,3,14,1170450,1930637,2014,12/01/2014 12:41:33 PM,41.965156958,-87.648678037,"(41.965156958; -87.648678037)"
9869944,HX520167,11/24/2014 09:30:00 PM,028XX W 25TH ST,0810,THEFT,OVER $500,APARTMENT,false,true,1033,010,12,30,06,1157847,1887237,2014,12/01/2014 12:41:33 PM,41.846330743,-87.696201469,"(41.846330743; -87.696201469)"
9869867,HX519425,11/24/2014 09:20:00 PM,056XX S SHIELDS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,0711,007,3,68,08B,1174897,1867330,2014,12/01/2014 12:41:33 PM,41.791339985,-87.634223643,"(41.791339985; -87.634223643)"
9868923,HX519453,11/24/2014 09:15:00 PM,048XX W GEORGE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,2521,025,31,19,14,1143684,1918886,2014,12/01/2014 12:41:33 PM,41.933455891,-87.747386305,"(41.933455891; -87.747386305)"
9868871,HX519466,11/24/2014 09:15:00 PM,051XX W WABANSIA AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,RESIDENCE,false,true,2533,025,37,25,04B,1141818,1910779,2014,12/01/2014 12:41:33 PM,41.911244221,-87.754444954,"(41.911244221; -87.754444954)"
9868847,HX519469,11/24/2014 09:10:00 PM,021XX S KILDARE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1012,010,24,29,08B,1148002,1889707,2014,12/01/2014 12:41:33 PM,41.853303487,-87.732268946,"(41.853303487; -87.732268946)"
9868896,HX519510,11/24/2014 09:00:00 PM,007XX N MILWAUKEE AVE,0810,THEFT,OVER $500,STREET,false,false,1214,012,27,24,06,1169032,1905273,2014,12/01/2014 12:41:33 PM,41.895587884,-87.654629867,"(41.895587884; -87.654629867)"
